,,P/E Forward,P/B,ROA,ROE,Projected EPS Growth (%),Yield (%),Market Cap($ mil),Weight (%),
,AAMA Equity,16.21,2.81,9.91,28.25,9.79,0.87,"114,361.73",0.17,
,AB Equity Income A,13.37,1.97,8.47,28.1,8.01,2.91,"95,224.17",0.35,
,AIG Focused Dividend,10.79,2.23,5.9,23.64,7.17,3.95,"50,471.18",0.2,
,Akre Focus Instl,29.46,6.75,10.37,40.51,12.77,0,"62,286.32",0.69,
,Amana Growth Investo,23.53,7.27,14.04,40.37,10.65,0.37,"83,714.94",0.65,
,American Beacon Brid,12.79,1.86,5.64,16.84,8.09,2.47,"36,213.84",0.31,
,American Beacon The ,15.49,2.8,10.12,29.75,8.94,2.25,"116,930.61",0.24,
,American Century All,0,0,0,0,0,0,0,0.53,
,American Century Dis,24.74,7.46,13.85,33.56,13.5,0.26,"86,022.54",0.34,
,American Century Equ,14.47,2.71,10.64,28.63,8.8,1,"69,195.20",0.42,
,American Century Inc,14.23,2.59,9.93,30.15,8.25,2.13,"78,280.04",0.51,
,American Century NT ,24.14,6.92,13.65,33.23,13.35,0.19,"87,045.07",0.2,
,American Century NT ,14.53,2.7,10.6,28.57,8.83,1.91,"70,542.39",0.15,
,American Century Sus,16.63,2.81,10.61,30.23,9.84,0,"149,404.00",0.44,
,AMG Managers Montag ,22.13,4.22,11.43,28.42,12.2,0,"136,499.09",0.28,
,AMG Yacktman Focused,12.21,1.27,7.09,20.41,5.93,1.36,"29,782.09",0.24,
,AMG Yacktman I,12.26,1.33,7.41,21.79,6.85,1.92,"36,984.49",0.26,
,Artisan Thematic Inv,25.79,3.79,9.16,28.54,13.95,0.27,"133,857.54",0.23,
,Ave Maria Rising Div,14.32,2.44,9.37,27.95,8.99,1.44,"38,643.72",0.23,
,BlackRock Advantage ,0,0,0,0,0,1.76,0,0.41,
,BMO Dividend Income ,10.87,1.81,7.99,28.43,9.14,2.85,"54,530.74",0.18,
,BNY Mellon Appreciat,19.41,3.9,12.32,32.67,10.88,0.88,"203,913.55",0.47,
,BNY Mellon Sustainab,15.78,2.87,10.07,29.58,10.77,1.22,"125,603.30",0.19,
,BNY Mellon US Equity,20.77,4.26,13.45,35.2,10.33,0.59,"40,029.42",0.29,
,Brown Advisory Beute,11.44,2.86,7.93,34.73,7.06,0.96,"31,746.71",0.15,
,Brown Advisory Flexi,16.79,2.73,11.21,30.52,12.11,0.48,"115,003.80",0.34,
